objectid,filename,title,creator,compiler,illustrator,format,edition,publisher,description,exlibris,date,subject,callnumber,iucat,bindingdesigner
blue_jackets,blue_jackets.jpg,Blue jackets of '76 : a history of the naval battles of the American revolution : together with a narrative of the war with Tripoli ,Willis John Abbot,,,image/jpeg,,"Dodd, Mead, & Co. ",,,1888,United States ; 19th century ; Painted designs ; Navy ; Ships ; Juvenile literature,Z274.A2 M36 no. 306a,https://iucat.iu.edu/lilly/16578157,Unknown
first_love,first_love.jpg,First love is best : a sentimental sketch,Gail Hamilton,,,image/jpeg,,Estes and Lauriat,"Bound in orange cloth, this binding has spiderwebs as part of its design. For books like this that were part of a distinct series, it was common for the designs to be simple, and universal. It’s likely that other books from the Cobweb Series of Fiction had the same motif. The title of this particular novel is held in a central circle on the front board, with title and lettering in gilt on spine. Unfortunately, it appears that there is no known designer for this binding. ",,1877,United States ; 19th century ; Fiction ; Romance,PS1544 .F5,https://iucat.iu.edu/lilly/6709100,Unknown
isle_dream,isle_dream.jpg,The isle of dreams,Myra Kelly,,,image/jpeg,,D. Appleton & Co.,,,1907,United States ; 20th century ; Fiction,PS3521.E432 I82,https://iucat.iu.edu/lilly/19287244,Unknown
island_impossible,island_impossible.jpg,The island impossible,Harriet Morgan,,Katharine Pyle,image/jpeg,,"Little, Brown & Co.",,,1899,United States ; 19th century ; Juvenile literature ; Fiction ; Islands,PZ7.M824 I82,https://iucat.iu.edu/lilly/19287236,Unknown
friendship_folly,friendship_folly.jpg,Friendship and folly : a novel,Maria Louise Pool,,J.W. Kennefy,image/jpeg,,L.C. Page and Company,,,1898,United States ; Fiction ; 19th century ; Romance ; Fiction,PS2649.P4 F9,https://iucat.iu.edu/lilly/19287271,Maurice Prendergast
white_rose,white_rose.jpg,For the white rose of Arno,Owen Rhoscomyl,,,image/jpeg,,"Longmans, Green, and Co.",,,1896,Woman binder ; United States ; 19th century ; Fiction ; Rebellions ; ,PZ3.V463 F6 1896,https://iucat.iu.edu/lilly/19286802,Lee Thayer?
joan_alley,joan_alley.jpg,Joan of the alley,Frederick Orin Bartlett,,Eleanor Winslow,image/jpeg,,"Houghton, Mifflin and Company",,,1904,United States ; 20th century ; Fiction,PS3503.A725 J62 1904,https://iucat.iu.edu/lilly/19286820,Thomas Watson Ball
life_love,life_love.jpg,Stories of life and love,Amelia E. Barr,,,image/jpeg,,Christian Herald,,,1897,Poetry ; Fiction ; United States ; 19th century,PS1072 .S7 1897,https://iucat.iu.edu/lilly/19287222,Unknown
knight_net,knight_net.jpg,A knight of the nets,Amelia E. Barr,,,image/jpeg,,"Dodd, Mead & Company",,,1896,Woman binder ; 19th century ; Fiction,PS1072 .K6,https://iucat.iu.edu/lilly/19287248,Alice C. Morse.
vista_english,vista_english.jpg,The vista of English verse,,Henry Spackman Pancoast,,image/jpeg,,Henry Holt and Company,,,1911,Woman binder ; 20th century ; Fiction,PR1175.P353 V83,https://iucat.iu.edu/lilly/19286852,Bertha Stuart
missionary_sheriff,missionary_sheriff.jpg,The missionary sheriff : being incidents in the life of a plain man who tried to do his duty,Octave Thanet,,"A.B. Frost, Clifford Carleton",image/jpeg,,Harper & Bros.,,,1897,United States ; 19th century ; Fiction ; Painted designs ; Gold blocking,PS1717 .M5,https://iucat.iu.edu/lilly/7329989,Unknown
last_stroke,last_stroke.jpg,The last stroke : a detective story,Lawrence L. Lynch,,,image/jpeg,,"Ward, Lock",,,1897,Detective stories ; Painted designs ; Gold blocking ; 19th century ; England ; United States ; Fiction,PS3114.V4 L3,https://iucat.iu.edu/lilly/6916669,Unknown
daring_danger,daring_danger.jpg,Tales of daring and danger,George Alfred Henry,,,image/jpeg,,Charles Scribner's Sons,,,1897,Adventure ; Gold blocking ; Floral designs ; 19th century ; England ; United States ; Fiction,PR4785.H55 T22,https://iucat.iu.edu/lilly/7759782,Unknown
cabin_field,cabin_field.jpg,Poems of cabin and field,Paul Laurence Dunbar,,Hamptom Institute Camera Club,image/jpeg,,"Dodd, Mead & Company",,,1899,Poetry ; Painted designs ; Floral designs ; Gold blocking ; Woman binder ; 19th century ; United States,PS1556 .P74,https://iucat.iu.edu/lilly/1436394,Alice C. Morse
bartholomew_eye,bartholomew_eye.jpg,St. Bartholomew's Eve : a tale of the Huguenot wars,George Alfred Henry,,,image/jpeg,First edition,Blackie & Son,,,1894,Juvenile fiction ; battles ; Christian life ; Huguenots ; Gold blocking ; Painted designs ; 19th century ; England ; Scotland ; Fiction,PR4785.H55 S13,https://iucat.iu.edu/lilly/7751499,
poetry_life,poetry_life.jpg,The poetry of life,Bliss Carman,,,image/jpeg,,"Copp, Clark",,,1905,Poetry ; Gold blocking ; Painted designs ; Floral designs ; 20th century ; Canada,PR4441 .P7 1905,https://iucat.iu.edu/lilly/8433279,
